S_No,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,Last
134,CERTIFIED,"FINCH PAPER, LLC",CHIEF EXECUTIVES,"VICE PRESIDENT, FORESTRY & WOOD PROCUREMENT",Y,142210,2016,"NORTHUMBERLAND, NEW YORK",NA,NA
135,CERTIFIED,"FINCH PAPER, LLC",CHIEF EXECUTIVES,"VICE PRESIDENT, FORESTRY & WOOD PROCUREMENT",Y,145038,2016,"GLENS FALLS, NEW YORK",NA,NA
136,CERTIFIED,"ADVANCED PRACTICE STRATEGIES, INC.",CHIEF EXECUTIVES,STRATEGIC ADVISOR TO THE CEO (CHIEF EXECUTIVE),Y,164403,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
137,CERTIFIED,"PROFESSIONAL TOOL GRINDING, INC.",CHIEF EXECUTIVES,VP OF MANUFACTURING,Y,111842,2016,"SOUTH EASTON, MASSACHUSETTS",NA,NA
138,CERTIFIED,TMS PLUMBING AND HEATING CORP,CHIEF EXECUTIVES,OPERATIONS DIRECTOR,Y,74276.8,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
139,CERTIFIED,"CASTLE BRANCH, INC.",CHIEF EXECUTIVES,PRESIDENT,Y,209539,2016,"WILMINGTON, NORTH CAROLINA",-77.9447102,34.2257255
140,CERTIFIED,LIGHT & STAR USA INC,CHIEF EXECUTIVES,CHIEF FINANACIAL OFFICER,N,70000,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
141,CERTIFIED,THEODORE R & VIVIAN M JOHNSON SCHOLARSHIP FOUND,CHIEF EXECUTIVES,PRESIDENT,Y,218629,2016,"WEST PALM BEACH, FLORIDA",-80.0533746,26.7153424
142,CERTIFIED,ASCENTIUM CORPORATION,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER/CHIEF TECHNOLOGY OFFICER,Y,229133,2016,"SEATTLE, WASHINGTON",-122.3320708,47.6062095
143,CERTIFIED,"HES MANAGEMENT AND SERVICES, LLC",CHIEF EXECUTIVES,CFO CONSTRUCTION AND HOTEL MANAGEMENT,Y,205629,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
144,CERTIFIED,"CALVARY DESIGN TEAM, INC.",CHIEF EXECUTIVES,PRESIDENT,Y,212597,2016,"WEBSTER, NEW YORK",-77.4299939,43.2122851
145,CERTIFIED,"GLOBAL CONVERGENCE, INC.",CHIEF EXECUTIVES,SENIOR VICE PRESIDENT OF GLOBAL SERVICE DELIVERY,Y,113693,2016,"OLDSMAR, FLORIDA",-82.6650992,28.0341847
146,CERTIFIED,E*TRADE FINANCIAL CORPORATION,CHIEF EXECUTIVES,"CHIEF OPERATING OFFICER, IT INFRASTRUCTURE",Y,246314,2016,"ALPHARETTA, CALIFORNIA",NA,NA
147,CERTIFIED-WITHDRAWN,"AUTOLIV ASP, INC.",CHIEF EXECUTIVES,VICE PRESIDENT ENGINEERING,Y,191090,2016,"SOUTHFIELD, MICHIGAN",-83.2218731,42.4733688
148,CERTIFIED,EXCLUSIVE RESORTS LLC,CHIEF EXECUTIVES,FULL-TIME CHAIRMAN OF THE BOARD,Y,187200,2016,"DENVER, COLORADO",-104.990251,39.7392358
149,CERTIFIED,"BON WORTH, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,125424,2016,"HENDERSONVILLE, NORTH CAROLINA",NA,NA
